Date,Open,High,Low,Close,Volume
06/28/2024,"257.54","259.49","252.86","254.84","8,958,712"
06/27/2024,"258.00","258.83","256.97","258.17","2,650,996"
06/26/2024,"256.65","258.17","254.68","257.83","2,796,088"
06/25/2024,"260.13","260.13","255.59","257.38","4,252,250"
06/24/2024,"259.00","261.37","257.80","260.38","3,901,231"
06/21/2024,"258.28","261.46","255.61","259.39","8,426,647"
06/20/2024,"250.27","255.69","249.51","253.80","4,046,527"
06/18/2024,"253.95","254.35","249.35","250.79","2,956,314"
06/17/2024,"252.30","254.52","251.88","253.51","2,532,906"
06/14/2024,"252.86","253.62","250.61","253.58","2,806,560"
06/13/2024,"253.59","254.74","251.18","253.70","3,152,985"
06/12/2024,"254.88","256.31","253.41","254.48","3,169,566"
06/11/2024,"253.01","254.69","252.10","254.28","2,729,439"
06/10/2024,"256.00","256.00","253.15","253.81","2,867,127"
06/07/2024,"260.07","261.40","255.34","256.21","2,290,085"
06/06/2024,"260.91","261.79","258.93","260.72","3,354,270"
06/05/2024,"261.50","261.74","258.66","259.99","4,136,828"
06/04/2024,"259.34","263.09","259.25","262.72","4,592,727"
06/03/2024,"257.93","259.95","255.60","259.75","4,342,771"
05/31/2024,"254.19","259.25","253.51","258.89","6,125,399"
05/30/2024,"250.61","252.96","250.10","252.07","3,599,768"
05/29/2024,"253.36","253.80","249.16","249.37","4,029,317"
05/28/2024,"257.39","258.81","252.65","253.54","4,324,728"
05/24/2024,"258.74","260.46","257.52","258.11","3,382,879"
05/23/2024,"265.13","265.62","257.60","257.93","5,636,170"
05/22/2024,"265.87","266.82","264.55","265.77","1,906,061"
05/21/2024,"268.51","269.08","265.44","265.87","2,362,574"
05/20/2024,"271.74","272.13","267.28","267.87","2,651,117"
05/17/2024,"274.06","274.06","270.92","272.38","2,454,570"
05/16/2024,"274.51","275.56","272.92","273.51","2,339,864"
05/15/2024,"271.11","274.37","270.23","273.87","2,982,621"
05/14/2024,"272.12","272.77","268.71","270.66","3,143,235"
05/13/2024,"275.38","276.74","271.14","271.32","3,840,670"
05/10/2024,"268.17","275.38","267.84","275.00","4,983,501"
05/09/2024,"268.46","268.48","267.02","267.95","3,139,960"
05/08/2024,"267.50","268.93","266.06","268.49","3,259,842"
05/07/2024,"270.04","270.67","266.99","267.50","3,160,026"
05/06/2024,"271.06","271.88","269.04","269.30","2,481,336"
05/03/2024,"274.14","274.62","268.89","270.32","2,642,344"
05/02/2024,"274.51","276.31","272.71","273.28","3,083,956"
05/01/2024,"271.38","276.43","270.05","274.43","4,843,553"
04/30/2024,"264.33","276.87","262.63","273.04","6,894,367"
04/29/2024,"273.83","274.43","272.60","273.55","3,187,813"
04/26/2024,"271.23","276.11","270.37","273.09","3,636,458"
04/25/2024,"277.02","279.82","274.72","275.60","4,179,755"
04/24/2024,"275.54","277.03","272.89","276.75","4,071,571"
04/23/2024,"276.82","277.40","274.24","276.88","3,275,678"
04/22/2024,"273.75","276.50","272.32","275.58","3,129,435"
04/19/2024,"272.01","272.22","270.48","271.99","3,017,097"
04/18/2024,"270.98","271.29","268.85","270.98","3,402,674"
04/17/2024,"266.50","270.12","265.52","269.95","3,383,099"
04/16/2024,"266.13","266.99","265.15","265.43","2,912,853"
04/15/2024,"267.86","268.53","266.05","266.23","3,686,881"
04/12/2024,"267.91","268.23","266.58","267.39","2,708,630"
04/11/2024,"269.50","269.88","267.15","268.62","2,519,172"
04/10/2024,"266.97","268.99","265.11","268.67","3,817,458"
04/09/2024,"266.22","269.67","265.50","269.44","3,935,142"
04/08/2024,"267.24","268.69","265.87","267.56","3,753,206"
04/05/2024,"269.42","270.62","266.36","266.69","6,816,035"
04/04/2024,"276.24","276.24","269.92","270.09","4,095,144"
